Symptom,Prompt Template,Follow-Up Questions,LikelyDiagnosis,Urgency Level,Treatment,TreatmentQuestion
symptom_1,What details can you share about symptom_1 in a {child_age} year old {gender} child?,How long has the symptom_1 been present?; Has it worsened recently?,Diagnosis_1_A; Diagnosis_1_B,medium,"Standard care for symptom_1 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_1, likely diagnosed with Diagnosis_1_A?"
symptom_2,What details can you share about symptom_2 in a {child_age} year old {gender} child?,How long has the symptom_2 been present?; Has it worsened recently?,Diagnosis_2_A; Diagnosis_2_B,medium,"Standard care for symptom_2 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_2, likely diagnosed with Diagnosis_2_A?"
symptom_3,What details can you share about symptom_3 in a {child_age} year old {gender} child?,How long has the symptom_3 been present?; Has it worsened recently?,Diagnosis_3_A; Diagnosis_3_B,medium,"Standard care for symptom_3 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_3, likely diagnosed with Diagnosis_3_A?"
symptom_4,What details can you share about symptom_4 in a {child_age} year old {gender} child?,How long has the symptom_4 been present?; Has it worsened recently?,Diagnosis_4_A; Diagnosis_4_B,medium,"Standard care for symptom_4 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_4, likely diagnosed with Diagnosis_4_A?"
symptom_5,What details can you share about symptom_5 in a {child_age} year old {gender} child?,How long has the symptom_5 been present?; Has it worsened recently?,Diagnosis_5_A; Diagnosis_5_B,medium,"Standard care for symptom_5 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_5, likely diagnosed with Diagnosis_5_A?"
symptom_6,What details can you share about symptom_6 in a {child_age} year old {gender} child?,How long has the symptom_6 been present?; Has it worsened recently?,Diagnosis_6_A; Diagnosis_6_B,medium,"Standard care for symptom_6 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_6, likely diagnosed with Diagnosis_6_A?"
symptom_7,What details can you share about symptom_7 in a {child_age} year old {gender} child?,How long has the symptom_7 been present?; Has it worsened recently?,Diagnosis_7_A; Diagnosis_7_B,medium,"Standard care for symptom_7 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_7, likely diagnosed with Diagnosis_7_A?"
symptom_8,What details can you share about symptom_8 in a {child_age} year old {gender} child?,How long has the symptom_8 been present?; Has it worsened recently?,Diagnosis_8_A; Diagnosis_8_B,medium,"Standard care for symptom_8 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_8, likely diagnosed with Diagnosis_8_A?"
symptom_9,What details can you share about symptom_9 in a {child_age} year old {gender} child?,How long has the symptom_9 been present?; Has it worsened recently?,Diagnosis_9_A; Diagnosis_9_B,medium,"Standard care for symptom_9 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_9, likely diagnosed with Diagnosis_9_A?"
symptom_10,What details can you share about symptom_10 in a {child_age} year old {gender} child?,How long has the symptom_10 been present?; Has it worsened recently?,Diagnosis_10_A; Diagnosis_10_B,medium,"Standard care for symptom_10 includes hydration, rest, and observation.","What are the best treatment options for a child presenting with symptom_10, likely diagnosed with Diagnosis_10_A?"
