Symptom,Prompt Template,Follow-Up Questions,Likely Diagnosis,Urgency Level,Suggested Treatment,Treatment Questions
symptom_1,What details can you share about symptom_1 in a {child_age} year old {gender} child?,How long has the symptom_1 been present?; Has it worsened recently?,Diagnosis_1_A; Diagnosis_1_B,medium,"Standard care for symptom_1 includes hydration, rest, and observation.",What are the best treatment options for symptom_1?; When should a doctor be consulted for symptom_1?
symptom_2,What details can you share about symptom_2 in a {child_age} year old {gender} child?,How long has the symptom_2 been present?; Has it worsened recently?,Diagnosis_2_A; Diagnosis_2_B,medium,"Standard care for symptom_2 includes hydration, rest, and observation.",What are the best treatment options for symptom_2?; When should a doctor be consulted for symptom_2?
symptom_3,What details can you share about symptom_3 in a {child_age} year old {gender} child?,How long has the symptom_3 been present?; Has it worsened recently?,Diagnosis_3_A; Diagnosis_3_B,medium,"Standard care for symptom_3 includes hydration, rest, and observation.",What are the best treatment options for symptom_3?; When should a doctor be consulted for symptom_3?
symptom_4,What details can you share about symptom_4 in a {child_age} year old {gender} child?,How long has the symptom_4 been present?; Has it worsened recently?,Diagnosis_4_A; Diagnosis_4_B,medium,"Standard care for symptom_4 includes hydration, rest, and observation.",What are the best treatment options for symptom_4?; When should a doctor be consulted for symptom_4?
symptom_5,What details can you share about symptom_5 in a {child_age} year old {gender} child?,How long has the symptom_5 been present?; Has it worsened recently?,Diagnosis_5_A; Diagnosis_5_B,medium,"Standard care for symptom_5 includes hydration, rest, and observation.",What are the best treatment options for symptom_5?; When should a doctor be consulted for symptom_5?
symptom_6,What details can you share about symptom_6 in a {child_age} year old {gender} child?,How long has the symptom_6 been present?; Has it worsened recently?,Diagnosis_6_A; Diagnosis_6_B,medium,"Standard care for symptom_6 includes hydration, rest, and observation.",What are the best treatment options for symptom_6?; When should a doctor be consulted for symptom_6?
symptom_7,What details can you share about symptom_7 in a {child_age} year old {gender} child?,How long has the symptom_7 been present?; Has it worsened recently?,Diagnosis_7_A; Diagnosis_7_B,medium,"Standard care for symptom_7 includes hydration, rest, and observation.",What are the best treatment options for symptom_7?; When should a doctor be consulted for symptom_7?
symptom_8,What details can you share about symptom_8 in a {child_age} year old {gender} child?,How long has the symptom_8 been present?; Has it worsened recently?,Diagnosis_8_A; Diagnosis_8_B,medium,"Standard care for symptom_8 includes hydration, rest, and observation.",What are the best treatment options for symptom_8?; When should a doctor be consulted for symptom_8?
symptom_9,What details can you share about symptom_9 in a {child_age} year old {gender} child?,How long has the symptom_9 been present?; Has it worsened recently?,Diagnosis_9_A; Diagnosis_9_B,medium,"Standard care for symptom_9 includes hydration, rest, and observation.",What are the best treatment options for symptom_9?; When should a doctor be consulted for symptom_9?
symptom_10,What details can you share about symptom_10 in a {child_age} year old {gender} child?,How long has the symptom_10 been present?; Has it worsened recently?,Diagnosis_10_A; Diagnosis_10_B,medium,"Standard care for symptom_10 includes hydration, rest, and observation.",What are the best treatment options for symptom_10?; When should a doctor be consulted for symptom_10?
symptom_11,What details can you share about symptom_11 in a {child_age} year old {gender} child?,How long has the symptom_11 been present?; Has it worsened recently?,Diagnosis_11_A; Diagnosis_11_B,medium,"Standard care for symptom_11 includes hydration, rest, and observation.",What are the best treatment options for symptom_11?; When should a doctor be consulted for symptom_11?
symptom_12,What details can you share about symptom_12 in a {child_age} year old {gender} child?,How long has the symptom_12 been present?; Has it worsened recently?,Diagnosis_12_A; Diagnosis_12_B,medium,"Standard care for symptom_12 includes hydration, rest, and observation.",What are the best treatment options for symptom_12?; When should a doctor be consulted for symptom_12?
symptom_13,What details can you share about symptom_13 in a {child_age} year old {gender} child?,How long has the symptom_13 been present?; Has it worsened recently?,Diagnosis_13_A; Diagnosis_13_B,medium,"Standard care for symptom_13 includes hydration, rest, and observation.",What are the best treatment options for symptom_13?; When should a doctor be consulted for symptom_13?
symptom_14,What details can you share about symptom_14 in a {child_age} year old {gender} child?,How long has the symptom_14 been present?; Has it worsened recently?,Diagnosis_14_A; Diagnosis_14_B,medium,"Standard care for symptom_14 includes hydration, rest, and observation.",What are the best treatment options for symptom_14?; When should a doctor be consulted for symptom_14?
symptom_15,What details can you share about symptom_15 in a {child_age} year old {gender} child?,How long has the symptom_15 been present?; Has it worsened recently?,Diagnosis_15_A; Diagnosis_15_B,medium,"Standard care for symptom_15 includes hydration, rest, and observation.",What are the best treatment options for symptom_15?; When should a doctor be consulted for symptom_15?
symptom_16,What details can you share about symptom_16 in a {child_age} year old {gender} child?,How long has the symptom_16 been present?; Has it worsened recently?,Diagnosis_16_A; Diagnosis_16_B,medium,"Standard care for symptom_16 includes hydration, rest, and observation.",What are the best treatment options for symptom_16?; When should a doctor be consulted for symptom_16?
symptom_17,What details can you share about symptom_17 in a {child_age} year old {gender} child?,How long has the symptom_17 been present?; Has it worsened recently?,Diagnosis_17_A; Diagnosis_17_B,medium,"Standard care for symptom_17 includes hydration, rest, and observation.",What are the best treatment options for symptom_17?; When should a doctor be consulted for symptom_17?
symptom_18,What details can you share about symptom_18 in a {child_age} year old {gender} child?,How long has the symptom_18 been present?; Has it worsened recently?,Diagnosis_18_A; Diagnosis_18_B,medium,"Standard care for symptom_18 includes hydration, rest, and observation.",What are the best treatment options for symptom_18?; When should a doctor be consulted for symptom_18?
symptom_19,What details can you share about symptom_19 in a {child_age} year old {gender} child?,How long has the symptom_19 been present?; Has it worsened recently?,Diagnosis_19_A; Diagnosis_19_B,medium,"Standard care for symptom_19 includes hydration, rest, and observation.",What are the best treatment options for symptom_19?; When should a doctor be consulted for symptom_19?
symptom_20,What details can you share about symptom_20 in a {child_age} year old {gender} child?,How long has the symptom_20 been present?; Has it worsened recently?,Diagnosis_20_A; Diagnosis_20_B,medium,"Standard care for symptom_20 includes hydration, rest, and observation.",What are the best treatment options for symptom_20?; When should a doctor be consulted for symptom_20?
symptom_21,What details can you share about symptom_21 in a {child_age} year old {gender} child?,How long has the symptom_21 been present?; Has it worsened recently?,Diagnosis_21_A; Diagnosis_21_B,medium,"Standard care for symptom_21 includes hydration, rest, and observation.",What are the best treatment options for symptom_21?; When should a doctor be consulted for symptom_21?
symptom_22,What details can you share about symptom_22 in a {child_age} year old {gender} child?,How long has the symptom_22 been present?; Has it worsened recently?,Diagnosis_22_A; Diagnosis_22_B,medium,"Standard care for symptom_22 includes hydration, rest, and observation.",What are the best treatment options for symptom_22?; When should a doctor be consulted for symptom_22?
symptom_23,What details can you share about symptom_23 in a {child_age} year old {gender} child?,How long has the symptom_23 been present?; Has it worsened recently?,Diagnosis_23_A; Diagnosis_23_B,medium,"Standard care for symptom_23 includes hydration, rest, and observation.",What are the best treatment options for symptom_23?; When should a doctor be consulted for symptom_23?
symptom_24,What details can you share about symptom_24 in a {child_age} year old {gender} child?,How long has the symptom_24 been present?; Has it worsened recently?,Diagnosis_24_A; Diagnosis_24_B,medium,"Standard care for symptom_24 includes hydration, rest, and observation.",What are the best treatment options for symptom_24?; When should a doctor be consulted for symptom_24?
symptom_25,What details can you share about symptom_25 in a {child_age} year old {gender} child?,How long has the symptom_25 been present?; Has it worsened recently?,Diagnosis_25_A; Diagnosis_25_B,medium,"Standard care for symptom_25 includes hydration, rest, and observation.",What are the best treatment options for symptom_25?; When should a doctor be consulted for symptom_25?
symptom_26,What details can you share about symptom_26 in a {child_age} year old {gender} child?,How long has the symptom_26 been present?; Has it worsened recently?,Diagnosis_26_A; Diagnosis_26_B,medium,"Standard care for symptom_26 includes hydration, rest, and observation.",What are the best treatment options for symptom_26?; When should a doctor be consulted for symptom_26?
symptom_27,What details can you share about symptom_27 in a {child_age} year old {gender} child?,How long has the symptom_27 been present?; Has it worsened recently?,Diagnosis_27_A; Diagnosis_27_B,medium,"Standard care for symptom_27 includes hydration, rest, and observation.",What are the best treatment options for symptom_27?; When should a doctor be consulted for symptom_27?
symptom_28,What details can you share about symptom_28 in a {child_age} year old {gender} child?,How long has the symptom_28 been present?; Has it worsened recently?,Diagnosis_28_A; Diagnosis_28_B,medium,"Standard care for symptom_28 includes hydration, rest, and observation.",What are the best treatment options for symptom_28?; When should a doctor be consulted for symptom_28?
symptom_29,What details can you share about symptom_29 in a {child_age} year old {gender} child?,How long has the symptom_29 been present?; Has it worsened recently?,Diagnosis_29_A; Diagnosis_29_B,medium,"Standard care for symptom_29 includes hydration, rest, and observation.",What are the best treatment options for symptom_29?; When should a doctor be consulted for symptom_29?
symptom_30,What details can you share about symptom_30 in a {child_age} year old {gender} child?,How long has the symptom_30 been present?; Has it worsened recently?,Diagnosis_30_A; Diagnosis_30_B,medium,"Standard care for symptom_30 includes hydration, rest, and observation.",What are the best treatment options for symptom_30?; When should a doctor be consulted for symptom_30?
symptom_31,What details can you share about symptom_31 in a {child_age} year old {gender} child?,How long has the symptom_31 been present?; Has it worsened recently?,Diagnosis_31_A; Diagnosis_31_B,medium,"Standard care for symptom_31 includes hydration, rest, and observation.",What are the best treatment options for symptom_31?; When should a doctor be consulted for symptom_31?
symptom_32,What details can you share about symptom_32 in a {child_age} year old {gender} child?,How long has the symptom_32 been present?; Has it worsened recently?,Diagnosis_32_A; Diagnosis_32_B,medium,"Standard care for symptom_32 includes hydration, rest, and observation.",What are the best treatment options for symptom_32?; When should a doctor be consulted for symptom_32?
symptom_33,What details can you share about symptom_33 in a {child_age} year old {gender} child?,How long has the symptom_33 been present?; Has it worsened recently?,Diagnosis_33_A; Diagnosis_33_B,medium,"Standard care for symptom_33 includes hydration, rest, and observation.",What are the best treatment options for symptom_33?; When should a doctor be consulted for symptom_33?
symptom_34,What details can you share about symptom_34 in a {child_age} year old {gender} child?,How long has the symptom_34 been present?; Has it worsened recently?,Diagnosis_34_A; Diagnosis_34_B,medium,"Standard care for symptom_34 includes hydration, rest, and observation.",What are the best treatment options for symptom_34?; When should a doctor be consulted for symptom_34?
symptom_35,What details can you share about symptom_35 in a {child_age} year old {gender} child?,How long has the symptom_35 been present?; Has it worsened recently?,Diagnosis_35_A; Diagnosis_35_B,medium,"Standard care for symptom_35 includes hydration, rest, and observation.",What are the best treatment options for symptom_35?; When should a doctor be consulted for symptom_35?
symptom_36,What details can you share about symptom_36 in a {child_age} year old {gender} child?,How long has the symptom_36 been present?; Has it worsened recently?,Diagnosis_36_A; Diagnosis_36_B,medium,"Standard care for symptom_36 includes hydration, rest, and observation.",What are the best treatment options for symptom_36?; When should a doctor be consulted for symptom_36?
symptom_37,What details can you share about symptom_37 in a {child_age} year old {gender} child?,How long has the symptom_37 been present?; Has it worsened recently?,Diagnosis_37_A; Diagnosis_37_B,medium,"Standard care for symptom_37 includes hydration, rest, and observation.",What are the best treatment options for symptom_37?; When should a doctor be consulted for symptom_37?
symptom_38,What details can you share about symptom_38 in a {child_age} year old {gender} child?,How long has the symptom_38 been present?; Has it worsened recently?,Diagnosis_38_A; Diagnosis_38_B,medium,"Standard care for symptom_38 includes hydration, rest, and observation.",What are the best treatment options for symptom_38?; When should a doctor be consulted for symptom_38?
symptom_39,What details can you share about symptom_39 in a {child_age} year old {gender} child?,How long has the symptom_39 been present?; Has it worsened recently?,Diagnosis_39_A; Diagnosis_39_B,medium,"Standard care for symptom_39 includes hydration, rest, and observation.",What are the best treatment options for symptom_39?; When should a doctor be consulted for symptom_39?
symptom_40,What details can you share about symptom_40 in a {child_age} year old {gender} child?,How long has the symptom_40 been present?; Has it worsened recently?,Diagnosis_40_A; Diagnosis_40_B,medium,"Standard care for symptom_40 includes hydration, rest, and observation.",What are the best treatment options for symptom_40?; When should a doctor be consulted for symptom_40?
symptom_41,What details can you share about symptom_41 in a {child_age} year old {gender} child?,How long has the symptom_41 been present?; Has it worsened recently?,Diagnosis_41_A; Diagnosis_41_B,medium,"Standard care for symptom_41 includes hydration, rest, and observation.",What are the best treatment options for symptom_41?; When should a doctor be consulted for symptom_41?
symptom_42,What details can you share about symptom_42 in a {child_age} year old {gender} child?,How long has the symptom_42 been present?; Has it worsened recently?,Diagnosis_42_A; Diagnosis_42_B,medium,"Standard care for symptom_42 includes hydration, rest, and observation.",What are the best treatment options for symptom_42?; When should a doctor be consulted for symptom_42?
symptom_43,What details can you share about symptom_43 in a {child_age} year old {gender} child?,How long has the symptom_43 been present?; Has it worsened recently?,Diagnosis_43_A; Diagnosis_43_B,medium,"Standard care for symptom_43 includes hydration, rest, and observation.",What are the best treatment options for symptom_43?; When should a doctor be consulted for symptom_43?
symptom_44,What details can you share about symptom_44 in a {child_age} year old {gender} child?,How long has the symptom_44 been present?; Has it worsened recently?,Diagnosis_44_A; Diagnosis_44_B,medium,"Standard care for symptom_44 includes hydration, rest, and observation.",What are the best treatment options for symptom_44?; When should a doctor be consulted for symptom_44?
symptom_45,What details can you share about symptom_45 in a {child_age} year old {gender} child?,How long has the symptom_45 been present?; Has it worsened recently?,Diagnosis_45_A; Diagnosis_45_B,medium,"Standard care for symptom_45 includes hydration, rest, and observation.",What are the best treatment options for symptom_45?; When should a doctor be consulted for symptom_45?
symptom_46,What details can you share about symptom_46 in a {child_age} year old {gender} child?,How long has the symptom_46 been present?; Has it worsened recently?,Diagnosis_46_A; Diagnosis_46_B,medium,"Standard care for symptom_46 includes hydration, rest, and observation.",What are the best treatment options for symptom_46?; When should a doctor be consulted for symptom_46?
symptom_47,What details can you share about symptom_47 in a {child_age} year old {gender} child?,How long has the symptom_47 been present?; Has it worsened recently?,Diagnosis_47_A; Diagnosis_47_B,medium,"Standard care for symptom_47 includes hydration, rest, and observation.",What are the best treatment options for symptom_47?; When should a doctor be consulted for symptom_47?
symptom_48,What details can you share about symptom_48 in a {child_age} year old {gender} child?,How long has the symptom_48 been present?; Has it worsened recently?,Diagnosis_48_A; Diagnosis_48_B,medium,"Standard care for symptom_48 includes hydration, rest, and observation.",What are the best treatment options for symptom_48?; When should a doctor be consulted for symptom_48?
symptom_49,What details can you share about symptom_49 in a {child_age} year old {gender} child?,How long has the symptom_49 been present?; Has it worsened recently?,Diagnosis_49_A; Diagnosis_49_B,medium,"Standard care for symptom_49 includes hydration, rest, and observation.",What are the best treatment options for symptom_49?; When should a doctor be consulted for symptom_49?
symptom_50,What details can you share about symptom_50 in a {child_age} year old {gender} child?,How long has the symptom_50 been present?; Has it worsened recently?,Diagnosis_50_A; Diagnosis_50_B,medium,"Standard care for symptom_50 includes hydration, rest, and observation.",What are the best treatment options for symptom_50?; When should a doctor be consulted for symptom_50?
symptom_51,What details can you share about symptom_51 in a {child_age} year old {gender} child?,How long has the symptom_51 been present?; Has it worsened recently?,Diagnosis_51_A; Diagnosis_51_B,medium,"Standard care for symptom_51 includes hydration, rest, and observation.",What are the best treatment options for symptom_51?; When should a doctor be consulted for symptom_51?
symptom_52,What details can you share about symptom_52 in a {child_age} year old {gender} child?,How long has the symptom_52 been present?; Has it worsened recently?,Diagnosis_52_A; Diagnosis_52_B,medium,"Standard care for symptom_52 includes hydration, rest, and observation.",What are the best treatment options for symptom_52?; When should a doctor be consulted for symptom_52?
symptom_53,What details can you share about symptom_53 in a {child_age} year old {gender} child?,How long has the symptom_53 been present?; Has it worsened recently?,Diagnosis_53_A; Diagnosis_53_B,medium,"Standard care for symptom_53 includes hydration, rest, and observation.",What are the best treatment options for symptom_53?; When should a doctor be consulted for symptom_53?
symptom_54,What details can you share about symptom_54 in a {child_age} year old {gender} child?,How long has the symptom_54 been present?; Has it worsened recently?,Diagnosis_54_A; Diagnosis_54_B,medium,"Standard care for symptom_54 includes hydration, rest, and observation.",What are the best treatment options for symptom_54?; When should a doctor be consulted for symptom_54?
