symptom,age_group,prompt_template,follow_up_questions,diagnosis_list,treatment_otc,treatment_prescription,treatment_home_remedies,treatment_precautions
constipation,preschool,Analyze the condition of a preschool child experiencing constipation. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the constipation start?', 'Has the child experienced this constipation before?', 'Are there any other symptoms with the constipation?']","['Possible diagnosis 1 for constipation', 'Possible diagnosis 2 for constipation']",['constipation-relief medication (OTC)'],['Prescription treatment for constipation'],"['Home care for constipation (hydration, rest)']","['Monitor severity of constipation, seek help if worsens']"
fatigue,toddler,Analyze the condition of a toddler child experiencing fatigue. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the fatigue start?', 'Has the child experienced this fatigue before?', 'Are there any other symptoms with the fatigue?']","['Possible diagnosis 1 for fatigue', 'Possible diagnosis 2 for fatigue']",['fatigue-relief medication (OTC)'],['Prescription treatment for fatigue'],"['Home care for fatigue (hydration, rest)']","['Monitor severity of fatigue, seek help if worsens']"
constipation,school-age,Analyze the condition of a school-age child experiencing constipation. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the constipation start?', 'Has the child experienced this constipation before?', 'Are there any other symptoms with the constipation?']","['Possible diagnosis 1 for constipation', 'Possible diagnosis 2 for constipation']",['constipation-relief medication (OTC)'],['Prescription treatment for constipation'],"['Home care for constipation (hydration, rest)']","['Monitor severity of constipation, seek help if worsens']"
vomiting,infant,Analyze the condition of a infant child experiencing vomiting. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the vomiting start?', 'Has the child experienced this vomiting before?', 'Are there any other symptoms with the vomiting?']","['Possible diagnosis 1 for vomiting', 'Possible diagnosis 2 for vomiting']",['vomiting-relief medication (OTC)'],['Prescription treatment for vomiting'],"['Home care for vomiting (hydration, rest)']","['Monitor severity of vomiting, seek help if worsens']"
eye discharge,toddler,Analyze the condition of a toddler child experiencing eye discharge. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the eye discharge start?', 'Has the child experienced this eye discharge before?', 'Are there any other symptoms with the eye discharge?']","['Possible diagnosis 1 for eye discharge', 'Possible diagnosis 2 for eye discharge']",['eye discharge-relief medication (OTC)'],['Prescription treatment for eye discharge'],"['Home care for eye discharge (hydration, rest)']","['Monitor severity of eye discharge, seek help if worsens']"
fatigue,toddler,Analyze the condition of a toddler child experiencing fatigue. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the fatigue start?', 'Has the child experienced this fatigue before?', 'Are there any other symptoms with the fatigue?']","['Possible diagnosis 1 for fatigue', 'Possible diagnosis 2 for fatigue']",['fatigue-relief medication (OTC)'],['Prescription treatment for fatigue'],"['Home care for fatigue (hydration, rest)']","['Monitor severity of fatigue, seek help if worsens']"
ear pain,school-age,Analyze the condition of a school-age child experiencing ear pain. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the ear pain start?', 'Has the child experienced this ear pain before?', 'Are there any other symptoms with the ear pain?']","['Possible diagnosis 1 for ear pain', 'Possible diagnosis 2 for ear pain']",['ear pain-relief medication (OTC)'],['Prescription treatment for ear pain'],"['Home care for ear pain (hydration, rest)']","['Monitor severity of ear pain, seek help if worsens']"
abdominal pain,infant,Analyze the condition of a infant child experiencing abdominal pain. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the abdominal pain start?', 'Has the child experienced this abdominal pain before?', 'Are there any other symptoms with the abdominal pain?']","['Possible diagnosis 1 for abdominal pain', 'Possible diagnosis 2 for abdominal pain']",['abdominal pain-relief medication (OTC)'],['Prescription treatment for abdominal pain'],"['Home care for abdominal pain (hydration, rest)']","['Monitor severity of abdominal pain, seek help if worsens']"
rash,preschool,Analyze the condition of a preschool child experiencing rash. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the rash start?', 'Has the child experienced this rash before?', 'Are there any other symptoms with the rash?']","['Possible diagnosis 1 for rash', 'Possible diagnosis 2 for rash']",['rash-relief medication (OTC)'],['Prescription treatment for rash'],"['Home care for rash (hydration, rest)']","['Monitor severity of rash, seek help if worsens']"
cough,school-age,Analyze the condition of a school-age child experiencing cough. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the cough start?', 'Has the child experienced this cough before?', 'Are there any other symptoms with the cough?']","['Possible diagnosis 1 for cough', 'Possible diagnosis 2 for cough']",['cough-relief medication (OTC)'],['Prescription treatment for cough'],"['Home care for cough (hydration, rest)']","['Monitor severity of cough, seek help if worsens']"
