ID,Symptom,Age Group,Diagnoses,Medications,Home Care,Red Flags
symptom_1,wheezing,4-12 months,allergic reaction; asthma,Albuterol inhaler,cool compresses; apply moisturizer; humidifier,persistent high fever; projectile vomiting
symptom_2,weight loss,4-6 years,otitis media,Oral Rehydration Solution,rest,stiff neck; rash with fever
symptom_3,vomiting,1-3 years,eczema,Oral Rehydration Solution; Azithromycin,cool compresses,loss of consciousness; severe pain
symptom_4,eye discharge,4-12 months,covid-19; eczema; allergic reaction,Albuterol inhaler,rest; light clothing,seizures
symptom_5,difficulty swallowing,0-3 months,bronchiolitis; appendicitis,Hydrocortisone cream; Prednisone,humidifier; light clothing; warm saltwater gargle,stiff neck
symptom_6,sleep disturbance,4-12 months,functional abdominal pain,Ibuprofen,humidifier,difficulty breathing; severe pain; rash with fever
symptom_7,vomiting,1-3 years,functional abdominal pain; strep throat; meningitis,Ibuprofen; Acetaminophen,avoid allergens; light clothing; cool compresses,difficulty breathing; rash with fever
symptom_8,sleep disturbance,4-6 years,dehydration,Oral Rehydration Solution; Albuterol inhaler,light clothing,severe pain; rash with fever
symptom_9,eye discharge,4-12 months,covid-19,Amoxicillin,cool compresses; light clothing,rash with fever
symptom_10,eye discharge,7-12 years,migraine,Hydrocortisone cream; Cetirizine; Prednisone,humidifier; cool compresses,seizures; severe pain; persistent high fever
symptom_11,seizures,0-3 months,covid-19; eczema; UTI,,increase fluid intake; humidifier; frequent handwashing,difficulty breathing; persistent high fever
symptom_12,shortness of breath,0-3 months,gastroenteritis,Prednisone,warm saltwater gargle; humidifier,stiff neck; persistent high fever
symptom_13,rash,0-3 months,pneumonia; covid-19,,cool compresses; frequent handwashing,lethargy
symptom_14,chest pain,7-12 years,gastroenteritis; bacterial infection; pneumonia,Acetaminophen,rest,rash with fever; severe pain
symptom_15,rash,0-3 months,UTI; sinusitis,Amoxicillin,rest; apply moisturizer,no urine output >8h
symptom_16,chest pain,0-3 months,UTI,Azithromycin,light clothing; frequent handwashing,projectile vomiting; seizures; loss of consciousness
symptom_17,fatigue,4-6 years,bacterial infection,Ibuprofen; Ondansetron,warm saltwater gargle; rest; avoid allergens,severe pain; projectile vomiting
symptom_18,nasal congestion,1-3 years,strep throat,Oral Rehydration Solution; Hydrocortisone cream; Amoxicillin,apply moisturizer; avoid allergens,seizures; difficulty breathing; no urine output >8h
symptom_19,night sweats,4-12 months,functional abdominal pain; eczema; strep throat,Oral Rehydration Solution; Acetaminophen,warm saltwater gargle; frequent handwashing; light clothing,loss of consciousness; no urine output >8h
symptom_20,chest pain,1-3 years,functional abdominal pain; otitis media,Ibuprofen; Oral Rehydration Solution; Azithromycin,increase fluid intake; humidifier; avoid allergens,loss of consciousness; projectile vomiting; severe pain
symptom_21,urinary pain,7-12 years,tonsillitis; gastroenteritis; sinusitis,Hydrocortisone cream,humidifier,rash with fever
symptom_22,sore throat,1-3 years,otitis media,,avoid allergens; cool compresses; humidifier,loss of consciousness
symptom_23,loss of appetite,0-3 months,pneumonia; eczema; tonsillitis,Ibuprofen; Hydrocortisone cream; Albuterol inhaler,increase fluid intake; rest,persistent high fever; loss of consciousness
symptom_24,ear pain,1-3 years,bronchiolitis,Ibuprofen; Oral Rehydration Solution,apply moisturizer; cool compresses; avoid allergens,severe pain
symptom_25,ear pain,13-18 years,pneumonia; tonsillitis,,light clothing; avoid allergens; rest,stiff neck; seizures; no urine output >8h
symptom_26,sore throat,7-12 years,viral infection; dehydration,Ibuprofen; Hydrocortisone cream,warm saltwater gargle,rash with fever
symptom_27,vomiting,0-3 months,functional abdominal pain; migraine; covid-19,Ibuprofen; Ondansetron,rest; increase fluid intake; light clothing,rash with fever
symptom_28,weight loss,4-12 months,eczema; functional abdominal pain,Ibuprofen; Acetaminophen,increase fluid intake; humidifier,lethargy; projectile vomiting
symptom_29,urinary pain,7-12 years,flu; meningitis,,increase fluid intake; light clothing,no urine output >8h; lethargy
symptom_30,chest pain,13-18 years,allergic reaction; otitis media,Oral Rehydration Solution; Ondansetron,cool compresses; apply moisturizer,loss of consciousness
symptom_31,rash,4-12 months,bacterial infection; otitis media; sinusitis,Acetaminophen; Azithromycin,warm saltwater gargle; apply moisturizer,persistent high fever
symptom_32,chest pain,1-3 years,dehydration,,warm saltwater gargle; increase fluid intake,persistent high fever; lethargy; severe pain
symptom_33,night sweats,1-3 years,meningitis; otitis media,,apply moisturizer,severe pain; no urine output >8h; projectile vomiting
symptom_34,ear pain,4-12 months,functional abdominal pain,,apply moisturizer,difficulty breathing
symptom_35,shortness of breath,0-3 months,allergic reaction; bronchiolitis; covid-19,Oral Rehydration Solution; Cetirizine; Ondansetron,cool compresses,projectile vomiting; stiff neck
symptom_36,fatigue,4-12 months,otitis media; meningitis,,cool compresses,stiff neck
symptom_37,night sweats,4-6 years,strep throat; otitis media; dehydration,Oral Rehydration Solution; Albuterol inhaler,avoid allergens,persistent high fever; projectile vomiting
symptom_38,rash,0-3 months,meningitis,Ondansetron,increase fluid intake; apply moisturizer; light clothing,severe pain; stiff neck; rash with fever
symptom_39,eye discharge,4-12 months,migraine; sinusitis; flu,Acetaminophen; Cetirizine; Albuterol inhaler,avoid allergens; apply moisturizer,stiff neck; severe pain
symptom_40,wheezing,7-12 years,functional abdominal pain,Cetirizine; Hydrocortisone cream; Albuterol inhaler,humidifier; avoid allergens; light clothing,severe pain; persistent high fever; difficulty breathing
symptom_41,loss of appetite,13-18 years,gastroenteritis; bacterial infection,Cetirizine; Hydrocortisone cream; Prednisone,light clothing; frequent handwashing,difficulty breathing; persistent high fever
symptom_42,rash,0-3 months,appendicitis; allergic reaction; meningitis,Ondansetron,apply moisturizer; light clothing; warm saltwater gargle,difficulty breathing
symptom_43,weight loss,13-18 years,otitis media,,rest; avoid allergens,rash with fever; seizures; loss of consciousness
symptom_44,fever,7-12 years,viral infection; strep throat; covid-19,Acetaminophen; Cetirizine,light clothing,persistent high fever; stiff neck; projectile vomiting
symptom_45,constipation,0-3 months,bacterial infection,Acetaminophen,apply moisturizer,loss of consciousness; no urine output >8h
symptom_46,wheezing,13-18 years,asthma; UTI,Oral Rehydration Solution; Hydrocortisone cream,cool compresses; apply moisturizer; avoid allergens,loss of consciousness
symptom_47,vomiting,7-12 years,sinusitis; asthma; migraine,,increase fluid intake; warm saltwater gargle,projectile vomiting; difficulty breathing; seizures
symptom_48,joint pain,13-18 years,appendicitis; tonsillitis; bronchiolitis,Acetaminophen; Ondansetron,apply moisturizer; avoid allergens,lethargy; loss of consciousness
symptom_49,cough,4-12 months,covid-19; tonsillitis,Azithromycin,rest; humidifier,rash with fever; persistent high fever; lethargy
symptom_50,night sweats,4-12 months,dehydration,Azithromycin,warm saltwater gargle; apply moisturizer,rash with fever
symptom_51,weight loss,4-12 months,allergic reaction; meningitis; functional abdominal pain,Acetaminophen; Oral Rehydration Solution; Ondansetron,frequent handwashing; increase fluid intake,no urine output >8h
symptom_52,ear pain,4-12 months,viral infection; meningitis,Amoxicillin,increase fluid intake,rash with fever; stiff neck; projectile vomiting
symptom_53,weight loss,4-12 months,otitis media; dehydration,,rest; avoid allergens,persistent high fever; severe pain; difficulty breathing
symptom_54,limping,7-12 years,sinusitis; pneumonia,Ibuprofen; Hydrocortisone cream; Amoxicillin,cool compresses; apply moisturizer,difficulty breathing
symptom_55,sore throat,7-12 years,flu,Hydrocortisone cream; Ibuprofen,avoid allergens; apply moisturizer,persistent high fever; loss of consciousness; stiff neck
symptom_56,weight loss,13-18 years,viral infection,Azithromycin,cool compresses,rash with fever; persistent high fever
symptom_57,rash,0-3 months,bacterial infection; eczema; migraine,Ondansetron,avoid allergens,projectile vomiting; stiff neck; no urine output >8h
symptom_58,difficulty swallowing,1-3 years,flu,,increase fluid intake; apply moisturizer,stiff neck
symptom_59,wheezing,13-18 years,meningitis,,cool compresses; light clothing; avoid allergens,persistent high fever; projectile vomiting
symptom_60,cough,4-12 months,flu; allergic reaction; bacterial infection,Oral Rehydration Solution; Hydrocortisone cream,apply moisturizer; rest,stiff neck
